entity_id,name,sanction_program
8155,"GOMEZ ALVAREZ, SOR TERESA",SDNTK
8156,"ISAZA ARANGO, RAMON MARIA",SDNTK
8158,"MANCUSO GOMEZ, SALVATORE",SDNTK
8159,"MARIN ARANGO, LUCIANO",SDGT
8163,"MURILLO BEJARANO, DIEGO FERNANDO",SDNTK
8175,"AL-ZINDANI, SHAYKH ABD-AL-MAJID",SDGT
8183,"ABD AL-GHAFAR, SUNDUS",IRAQ2
8184,"AL-DURI, JAWHAR MAJID",IRAQ2
8185,"AL-RABI'I, NIDAL",IRAQ2
8186,"AL-TIKRITI, ALI BARZAN IBRAHIM HASAN",IRAQ2
8187,"AL-TIKRITI, ALI SADDAM HUSSEIN",IRAQ2
8188,"AL-TIKRITI, HALA SADDAM HUSSEIN",IRAQ2
8189,"AL-TIKRITI, KHAWLA BARZAN IBRAHIM HASAN",IRAQ2
8190,"AL-TIKRITI, MOHAMMAD BARZAN IBRAHIM HASAN",IRAQ2
8191,"AL-TIKRITI, NOOR BARZAN IBRAHIM HASAN",IRAQ2
8192,"AL-TIKRITI, RAGHAD SADDAM HUSSEIN",IRAQ2
8193,"AL-TIKRITI, RANA SADDAM HUSSEIN",IRAQ2
8194,"AL-TIKRITI, SAJA BARZAN IBRAHIM HASAN",IRAQ2
8195,"AL-TIKRITI, THORAYA BARZAN IBRAHIM HASAN",IRAQ2
8196,"AL-UBAYDI, INTISSAR",IRAQ2
8197,"SHAHBANDAR, SAMIRA",IRAQ2
8198,"TILFAH, SAJIDA KHAYRALLAH",IRAQ2
8200,"DERAMCHI, OTHMAN",SDGT
8202,"BENDEBKA, L'HADI",SDGT
8203,"AHMED NACER, YACINE",SDGT
8204,"KIFANE, ABDERRAHMANE",SDGT
8205,"EL HEIT, ALI",SDGT
8207,"HADDAD, FETHI BEN ASSEN BEN SALEM",SDGT
8208,"ABBES, MOUSTAFA",SDGT
8209,"ABBES, YOUCEF",SDGT
8215,"AHMED, ADNAN S. HASAN",IRAQ2
8216,"AL OBAIDI, TARIK NASSER S.",IRAQ2
8217,"AL-QUBAYSI, MUNIR",IRAQ2
8218,"BAHNAM, HIKMAT JARJES",IRAQ2
8220,"DJERMANE, KAMEL",SDGT
8222,"ZERFAOUI, AHMAD",SDGT
8227,"BURHAN, DR. SAHIR",IRAQ2
8228,"HAMUDAT, GENERAL MAKI MUSTAFA",IRAQ2
8230,"SHABAN, ADIB",IRAQ2
8231,"SLEWA, ROODI",IRAQ2
